,product_id,product_name,reviewer,rating,review_date,advantages,disadvantages,comment,purchase_state
262,314706859,Джинсы зауженные скинни с высокой посадкой стрейч,Ирина,1,"13 июня, 17:23 • Дополнен",,,"Одела один раз , такое ощущение что 5 лет носила 🤣 мотня вниз сползла",Выкупили
823,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Елена,1,"Сегодня, 11:01","Спасибо продавцу, качество хорошее рекомендую 👍",,,Выкупили
9876,35778729,"Жиросжигатель для похудения капсулы, БАД",Ольга,1,"Вчера, 07:43","Никаких результатов не дал, от слова совсем!!!! Фигня! Пустая трата денег((((",,,Выкупили
8651,28923876,Блузка базовая,Ирина,1,"05 июня, 01:25",,"очень грубая ткань, жесткая",,Отказались
10844,35778729,"Жиросжигатель для похудения капсулы, БАД",Екатерина,1,"Вчера, 07:20",Толку от этого препарата нет никакого,,,Выкупили
8578,28923876,Блузка базовая,Надежда,1,"08 июня, 18:57",Красивая блузка спасибо,,,Выкупили
11972,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Елена,1,"21 марта, 17:05",,,"Бокалы пришли битые😭
И именинник остался без подарка🤕",Отказались
3498,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Ксения,1,"18 июня, 14:41",,Не держат,"Аккуратно закрыла пакеты, проверила несколько раз застёжку. Всё равно не держат, через несколько минут воздух в пакете появляется.",Выкупили
2231,183948489,Подарочный набор бокалов с надписью,Алина,1,"08 марта, 23:07",,"Ужасно ,упаковка-тонкий картон, никакого обозначения, что это хрупхое, два бокала в ухнарь разбиты",,Отказались
9500,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Аружан,1,"16 июня, 18:18",,"Плохо был упакован , немного вытекло , коробка вся в масле",,Выкупили
8587,28923876,Блузка базовая,Диана,1,"08 июня, 13:44",,"Цвет не бежевый, а цвета фуксии",,Отказались
10543,35778729,"Жиросжигатель для похудения капсулы, БАД",Анна,1,"Сегодня, 17:20",Не помогает,,,Выкупили
2385,183948489,Подарочный набор бокалов с надписью,Покупатель Wildberries,1,"06 марта, 06:20",Бокалы класс .Пришлось отказаться (((,Пришли разбитые. Очень расстроилась . Брала на подарок,,Отказались
4023,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Елена,1,"20 мая, 10:57",Пакет был с дыркой и заклеянный,,,Выкупили
6883,135895113,Блузка боди с длинным рукавом,Татьяна,1,"09 декабря 2023, 13:30",,,"Отказа, маломерки + все измазано тонаком!",
8249,28923876,Блузка базовая,Светлана,1,"Сегодня, 02:22",,Полное несоответствие цвета. Не рекомендую такой цвет,,Отказались
8070,10147914,Офисная базовая блузка,Екатерина,1,"Вчера, 20:41",,"Прозрачная, пришла мятая и с пятном",,Отказались
11134,35778729,"Жиросжигатель для похудения капсулы, БАД",Ирина,1,"23 июня, 07:04",,не похудела не на 1 гр.,,Выкупили
1188,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Полина,1,"21 июня, 18:02",,,"Заказывала 70 штук, прислали 56🥲 пришлось все равно выкупить, потому что у ребенка закончились подгузники. Очень обидно",Выкупили
12156,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Елена,1,"13 марта, 13:07",,"Очень жаль, один бокал был разбит в дребезги",,Отказались
3480,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Анна,1,"19 июня, 18:28",,,"Пропускают воздух через один, невыгодная покупка, деньги на ветер",Выкупили
6659,135895113,Блузка боди с длинным рукавом,Светлана,1,"26 марта 2024, 13:38",,,"Размер М, на свой размер 44 и рост 170 еле натянула, ну и соответственно нижняя застёжка в районе вупка, отдала дочери которой 10 лет, через год уже как раз будет, а она у меня худышка🙄",
1746,183948489,Подарочный набор бокалов с надписью,Марина,1,"15 апреля, 21:57",,Пришел товар разбитый,,Отказались
1194,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Мария,1,"21 июня, 16:40",Не протекают,"На ребенка 7,5кг размер М (6-11) очень малы, впиваются в кожу. После первого же дня использования вылезла аллергия, хотя на подгузниках этой же фирмы такого не было.",,Выкупили
4118,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Татьяна,1,"14 мая, 17:12 • Дополнен",,,"Пакеты очень хорошие, по размеру подошли. Качество отличное. Обидно, что 1 пакет не доложили.",Выкупили
10548,35778729,"Жиросжигатель для похудения капсулы, БАД",Зоя,1,"Сегодня, 16:55 • Дополнен",,,"Пропила, толку ноль, вообще без изменений.",Выкупили
7353,9670349,Сироп Клубника для коктейлей и лимонадов 1л,Мария,1,"23 июня, 09:26",Безвкусный,,,Выкупили
5248,142199442,Емкость для сыпучих продуктов баночки c наклейками,Сюзанна,1,"18 июня, 00:51",Ничего,,"Банки ни о чем обычные . Только они сейчас золотые стали я брала ценник дешевый 680 руб , а теперь 2300 руб. Они даже не стоят этой цены красная, им цена рублей 450 и все",Выкупили
7550,9670349,Сироп Клубника для коктейлей и лимонадов 1л,Надя,1,"21 июня, 06:38","Крышка плохая, да и сам сироп не очень, болше брать никтога не буду",,,Выкупили
933,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Маргарита,1,"Вчера, 12:24",Не буду больше брать,Протекают,,Выкупили
2200,183948489,Подарочный набор бокалов с надписью,Наталья,1,"09 марта, 22:12",,"Безумно расстроилась...Ужасная упаковка, которая не спасла вообще..Оба бокала были разбиты",,Отказались
12293,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Светлана,1,"08 марта, 14:14",,"Пришло все разбитое, упаковано очень плохо, расстроилась нужно было на подарок",,Отказались
10535,35778729,"Жиросжигатель для похудения капсулы, БАД",мария,1,"Сегодня, 20:10",,"Принимаю две недели,есть хочется ещё больше,набрала вес,хотя не ем сладкое,мучное, жареное и много хожу,делаю зарядку.",,Выкупили
7713,9670349,Сироп Клубника для коктейлей и лимонадов 1л,Кирилл,1,"19 июня, 11:45",Ничего,"Пробка прокручивается, вкус как у советской звёздочки. Просто деньги на ветер",,Выкупили
3568,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Алексей,1,"14 июня, 18:42","Ужасные пакеты,только сложить все вещи,выкачаешь воздух,тут же спускает и пакет наполняется воздухом.Быстро рвутся.",,,Выкупили
1786,183948489,Подарочный набор бокалов с надписью,Покупатель Wildberries,1,"10 апреля, 16:31",,Пришли разбитые бокалы,,Отказались
10810,35778729,"Жиросжигатель для похудения капсулы, БАД",Марина,1,"Вчера, 14:43","Совсем ничего, эффекта никакого.
Толку тоже 0, зря потраченные деньги.","Сижу на дефиците калорий, занимаюсь дома, плюс бег на дорожке, брала чисто ради интереса,а в друг ещё 2-3 кг уйдут быстрее. Фигня все это. А для уменьшения тяги к сладкому пейте алфалипоеву кислоту или барерин+хром. А ваши пилюли просто пустая трата денег.",Отвратительно. 🤮,Выкупили
